# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 260         5.180       52.100      1.90        De Bilt     
# 279         6.574       52.750      15.80       Hoogeveen   
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius)
# STN,YYYYMMDD,   TG
  260,20240101,   74
  260,20240102,  105
  260,20240103,   94
  260,20240104,   76
  260,20240105,   70
  260,20240106,   32
  260,20240107,   -2
  260,20240108,  -18
  260,20240109,  -32
  260,20240110,  -32
  260,20240111,  -19
  260,20240112,   33
  260,20240113,   35
  260,20240114,   28
  260,20240115,   16
  260,20240116,    8
  260,20240117,  -15
  260,20240118,  -17
  260,20240119,   15
  260,20240120,   -4
  260,20240121,   37
  260,20240122,   96
  260,20240123,   84
  260,20240124,  104
  260,20240125,   70
  260,20240126,   81
  260,20240127,   38
  260,20240128,   39
  260,20240129,   65
  260,20240130,   79
  260,20240131,   66
  260,20240201,   65
  260,20240202,   76
  260,20240203,  101
  260,20240204,  106
  260,20240205,   96
  260,20240206,  106
  260,20240207,   41
  260,20240208,   28
  260,20240209,  108
  260,20240210,  103
  260,20240211,   87
  260,20240212,   68
  260,20240213,   67
  260,20240214,  112
  260,20240215,  128
  260,20240216,  109
  260,20240217,  106
  260,20240218,   94
  260,20240219,   87
  260,20240220,   87
  260,20240221,   93
  260,20240222,   97
  260,20240223,   61
  260,20240224,   50
  260,20240225,   64
  260,20240226,   50
  260,20240227,   43
  260,20240228,   59
  260,20240229,   81
  260,20240301,   82
  260,20240302,   96
  260,20240303,  111
  260,20240304,   75
  260,20240305,   57
  260,20240306,   67
  260,20240307,   51
  260,20240308,   54
  260,20240309,   82
  260,20240310,   93
  260,20240311,   69
  260,20240312,   84
  260,20240313,  110
  260,20240314,  130
  260,20240315,  130
  260,20240316,   75
  260,20240317,   94
  260,20240318,  111
  260,20240319,  115
  260,20240320,  120
  260,20240321,   95
  260,20240322,   94
  260,20240323,   69
  260,20240324,   64
  260,20240325,   73
  260,20240326,   87
  260,20240327,   96
  260,20240328,   91
  260,20240329,  109
  260,20240330,   86
  260,20240331,  105
  260,20240401,  100
  260,20240402,   97
  260,20240403,  110
  260,20240404,  120
  260,20240405,  134
  260,20240406,  180
  260,20240407,  168
  260,20240408,  153
  260,20240409,  114
  260,20240410,  117
  260,20240411,  132
  260,20240412,  161
  260,20240413,  171
  260,20240414,  116
  260,20240415,   80
  260,20240416,   82
  260,20240417,   58
  260,20240418,   75
  260,20240419,   82
  260,20240420,   73
  260,20240421,   62
  260,20240422,   55
  260,20240423,   55
  260,20240424,   57
  260,20240425,   61
  260,20240426,   88
  260,20240427,  118
  260,20240428,  123
  260,20240429,  125
  260,20240430,  162
  260,20240501,  190
  260,20240502,  181
  260,20240503,  112
  260,20240504,  112
  260,20240505,  122
  260,20240506,  142
  260,20240507,  148
  260,20240508,  128
  260,20240509,  132
  260,20240510,  151
  260,20240511,  168
  260,20240512,  199
  260,20240513,  192
  260,20240514,  195
  260,20240515,  164
  260,20240516,  166
  260,20240517,  154
  260,20240518,  170
  260,20240519,  177
  260,20240520,  157
  260,20240521,  169
  260,20240522,  156
  260,20240523,  153
  260,20240524,  145
  260,20240525,  150
  260,20240526,  149
  260,20240527,  142
  260,20240528,  141
  260,20240529,  145
  260,20240530,  145
  260,20240531,  156
  260,20240601,  153
  260,20240602,  143
  260,20240603,  143
  260,20240604,  166
  260,20240605,  126
  260,20240606,  124
  260,20240607,  132
  260,20240608,  131
  260,20240609,  130
  260,20240610,  113
  260,20240611,  119
  260,20240612,  115
  260,20240613,  144
  260,20240614,  150
  260,20240615,  143
  260,20240616,  144
  260,20240617,  163
  260,20240618,  152
  260,20240619,  156
  260,20240620,  164
  260,20240621,  163
  260,20240622,  163
  260,20240623,  178
  260,20240624,  200
  260,20240625,  226
  260,20240626,  241
  260,20240627,  227
  260,20240628,  172
  260,20240629,  183
  260,20240630,  177
  260,20240701,  163
  260,20240702,  152
  260,20240703,  136
  260,20240704,  160
  260,20240705,  158
  260,20240706,  165
  260,20240707,  147
  260,20240708,  172
